domain,course_count,percentage
Computer Science,1338,37.98977853492334
Business,910,25.837592277115274
Arts & Humanities,531,15.076660988074957
Engineering,272,7.722884724588303
Health & Medicine,231,6.5587734241908
Data Science,117,3.321976149914821
Social Sciences,82,2.328222600795003
Mathematics,40,1.135718341851221
Other,1,0.028392958546280524
